Time,virion_half_life,dip_half_life,ifn_half_life,Global IFN Concentration Per Cell,Total Extracellular Virions,Total Extracellular DIPs,Percentage Dead Cells,Percentage Susceptible Cells,Percentage Infected Cells,Percentage Infected DIP-only Cells,Percentage Infected Both Cells,Percentage Antiviral Cells,Regrowth Count,Percentage Susceptible and Antiviral (Real Susceptible cells without regrowthed ones) Cells,Percentage Regrowthed or Regrowthed and Antiviral Cells,Probability Virion Infection,Probability DIP Infection,Per Particle Infection Chance RHO,Total Local Particles,Plaque Percentage,max_global_IFN,time_all_cells_uninfected,Percentage Uninfected Cells,num_plaques,GRID_SIZE,TIMESTEP,IFN_DELAY,STD_IFN_DELAY,ALPHA,RHO,TAU,BURST_SIZE_V,REGROWTH_MEAN,REGROWTH_STD,TIME_STEPS,MEAN_LYSIS_TIME,STANDARD_LYSIS_TIME,init_v_pfu_per_cell,init_d_pfu_per_cell,MEAN_ANTI_TIME_Per_Cell,STD_ANTI_TIME,R,BURST_SIZE_D,H,option,d_pfu_initial,v_pfu_initial,virionOnlyInfected,dipOnlyInfected,bothInfected,totalDeadFromV,totalDeadFromBoth,virionDiffusionRate,dipDiffusionRate,k_JumpR,jumpRadiusV,jumpRadiusD,jumpRandomly,par_celltocell_random,allowVirionJump,allowDIPJump,IFN_wave_radius,ifnWave,ifnBothFold,D_only_IFN_stimulate_ratio,BOTH_IFN_stimulate_ratio,totalRandomJumpVirions,totalRandomJumpDIPs,dipAdvantage
0,4.000000,4.000000,0.000000,-0.000173,1,29,0.000000,49.844183,0.155817,0.138504,0.000000,0.000000,0,49.844183,0.000000,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.800000,30,0.000000,-1.000000,-1.0,49.844183,0,76,1,0,0,0.000000,0.800000,0.000000,500,24.000000,6.000000,26,7.500000,1.875000,0.000173,0.005194,-1.0,-1.0,0.000000,200,-1.0,4,1,30,1,8,0,0,0,0,0,NaN,0,0,false,false,false,false,0,false,0.000000,5.000000,10.000000,0,0,0.400000
1,4.000000,4.000000,0.000000,-0.000173,1,28,0.000000,49.913435,0.086565,0.069252,0.000000,0.000000,0,49.913435,0.000000,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.800000,29,0.000000,-1.000000,-1.0,49.913435,0,76,1,0,0,0.000000,0.800000,0.000000,500,24.000000,6.000000,26,7.500000,1.875000,0.000173,0.005194,-1.0,-1.0,0.000000,200,-1.0,4,1,30,1,4,0,0,0,0,0,NaN,0,0,false,false,false,false,0,false,0.000000,5.000000,10.000000,0,0,0.400000
2,4.000000,4.000000,0.000000,-0.000173,1,27,0.000000,49.896122,0.103878,0.086565,0.000000,0.000000,0,49.896122,0.000000,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.800000,28,0.000000,-1.000000,-1.0,49.896122,0,76,1,0,0,0.000000,0.800000,0.000000,500,24.000000,6.000000,26,7.500000,1.875000,0.000173,0.005194,-1.0,-1.0,0.000000,200,-1.0,4,1,30,1,5,0,0,0,0,0,NaN,0,0,false,false,false,false,0,false,0.000000,5.000000,10.000000,0,0,0.400000
3,4.000000,4.000000,0.000000,-0.000173,1,26,0.000000,49.809557,0.190443,0.173130,0.000000,0.000000,0,49.809557,0.000000,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.800000,27,0.000000,-1.000000,-1.0,49.809557,0,76,1,0,0,0.000000,0.800000,0.000000,500,24.000000,6.000000,26,7.500000,1.875000,0.000173,0.005194,-1.0,-1.0,0.000000,200,-1.0,4,1,30,1,10,0,0,0,0,0,NaN,0,0,false,false,false,false,0,false,0.000000,5.000000,10.000000,0,0,0.400000
4,4.000000,4.000000,0.000000,-0.000173,1,26,0.000000,49.896122,0.103878,0.086565,0.000000,0.000000,0,49.896122,0.000000,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.800000,27,0.000000,-1.000000,-1.0,49.896122,0,76,1,0,0,0.000000,0.800000,0.000000,500,24.000000,6.000000,26,7.500000,1.875000,0.000173,0.005194,-1.0,-1.0,0.000000,200,-1.0,4,1,30,1,5,0,0,0,0,0,NaN,0,0,false,false,false,false,0,false,0.000000,5.000000,10.000000,0,0,0.400000
5,4.000000,4.000000,0.000000,-0.000173,1,26,0.000000,49.878809,0.121191,0.103878,0.000000,0.000000,0,49.878809,0.000000,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.800000,27,0.000000,-1.000000,-1.0,49.878809,0,76,1,0,0,0.000000,0.800000,0.000000,500,24.000000,6.000000,26,7.500000,1.875000,0.000173,0.005194,-1.0,-1.0,0.000000,200,-1.0,4,1,30,1,6,0,0,0,0,0,NaN,0,0,false,false,false,false,0,false,0.000000,5.000000,10.000000,0,0,0.400000
6,4.000000,4.000000,0.000000,-0.000173,1,26,0.000000,49.861496,0.138504,0.121191,0.000000,0.000000,0,49.861496,0.000000,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.800000,27,0.000000,-1.000000,-1.0,49.861496,0,76,1,0,0,0.000000,0.800000,0.000000,500,24.000000,6.000000,26,7.500000,1.875000,0.000173,0.005194,-1.0,-1.0,0.000000,200,-1.0,4,1,30,1,7,0,0,0,0,0,NaN,0,0,false,false,false,false,0,false,0.000000,5.000000,10.000000,0,0,0.400000
7,4.000000,4.000000,0.000000,-0.000173,1,26,0.000000,49.896122,0.103878,0.086565,0.000000,0.000000,0,49.896122,0.000000,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.800000,27,0.000000,-1.000000,-1.0,49.896122,0,76,1,0,0,0.000000,0.800000,0.000000,500,24.000000,6.000000,26,7.500000,1.875000,0.000173,0.005194,-1.0,-1.0,0.000000,200,-1.0,4,1,30,1,5,0,0,0,0,0,NaN,0,0,false,false,false,false,0,false,0.000000,5.000000,10.000000,0,0,0.400000
8,4.000000,4.000000,0.000000,-0.000173,1,26,0.000000,49.826870,0.173130,0.155817,0.000000,0.000000,0,49.826870,0.000000,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.800000,27,0.000000,-1.000000,-1.0,49.826870,0,76,1,0,0,0.000000,0.800000,0.000000,500,24.000000,6.000000,26,7.500000,1.875000,0.000173,0.005194,-1.0,-1.0,0.000000,200,-1.0,4,1,30,1,9,0,0,0,0,0,NaN,0,0,false,false,false,false,0,false,0.000000,5.000000,10.000000,0,0,0.400000
9,4.000000,4.000000,0.000000,-0.000173,461,26,0.017313,49.826870,0.155817,0.086565,0.069252,0.000000,0,49.826870,0.000000,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.800000,487,0.017313,-1.000000,-1.0,49.826870,0,76,1,0,0,0.000000,0.800000,0.000000,500,24.000000,6.000000,26,7.500000,1.875000,0.000173,0.005194,-1.0,-1.0,0.000000,200,-1.0,4,1,30,0,5,4,1,0,0,0,NaN,0,0,false,false,false,false,0,false,0.000000,5.000000,10.000000,0,0,0.400000
