Time,virion_half_life,dip_half_life,ifn_half_life,Global IFN Concentration Per Cell,Total Extracellular Virions,Total Extracellular DIPs,Percentage Dead Cells,Percentage Susceptible Cells,Percentage Infected Cells,Percentage Infected DIP-only Cells,Percentage Infected Both Cells,Percentage Antiviral Cells,Regrowth Count,Percentage Susceptible and Antiviral (Real Susceptible cells without regrowthed ones) Cells,Percentage Regrowthed or Regrowthed and Antiviral Cells,Probability Virion Infection,Probability DIP Infection,Per Particle Infection Chance RHO,Total Local Particles,Plaque Percentage,max_global_IFN,time_all_cells_uninfected,Percentage Uninfected Cells,num_plaques,GRID_SIZE,TIMESTEP,IFN_DELAY,STD_IFN_DELAY,ALPHA,RHO,TAU,BURST_SIZE_V,REGROWTH_MEAN,REGROWTH_STD,TIME_STEPS,MEAN_LYSIS_TIME,STANDARD_LYSIS_TIME,init_v_pfu_per_cell,init_d_pfu_per_cell,MEAN_ANTI_TIME_Per_Cell,STD_ANTI_TIME,R,BURST_SIZE_D,H,option,d_pfu_initial,v_pfu_initial,virionOnlyInfected,dipOnlyInfected,bothInfected,totalDeadFromV,totalDeadFromBoth,virionDiffusionRate,dipDiffusionRate,k_JumpR,jumpRadiusV,jumpRadiusD,jumpRandomly,par_celltocell_random,allowVirionJump,allowDIPJump,IFN_wave_radius,ifnWave,ifnBothFold,D_only_IFN_stimulate_ratio,BOTH_IFN_stimulate_ratio,totalRandomJumpVirions,totalRandomJumpDIPs,dipAdvantage
0,4.000000,4.000000,0.000000,-0.000069,1,28,0.000000,79.902778,0.097222,0.090278,0.000000,0.000000,0,79.902778,0.000000,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.800000,29,0.000000,-1.000000,-1.0,79.902778,0,120,1,0,0,0.000000,0.800000,0.000000,490,24.000000,6.000000,26,7.500000,1.875000,0.000069,0.002083,-1.0,-1.0,0.000000,150,-1.0,4,1,30,1,13,0,0,0,0,0,NaN,0,0,false,false,false,false,0,false,0.000000,5.000000,10.000000,0,0,0.306122
1,4.000000,4.000000,0.000000,-0.000069,1,26,0.000000,79.909722,0.090278,0.083333,0.000000,0.000000,0,79.909722,0.000000,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.800000,27,0.000000,-1.000000,-1.0,79.909722,0,120,1,0,0,0.000000,0.800000,0.000000,490,24.000000,6.000000,26,7.500000,1.875000,0.000069,0.002083,-1.0,-1.0,0.000000,150,-1.0,4,1,30,1,12,0,0,0,0,0,NaN,0,0,false,false,false,false,0,false,0.000000,5.000000,10.000000,0,0,0.306122
2,4.000000,4.000000,0.000000,-0.000069,1,25,0.000000,79.916667,0.083333,0.076389,0.000000,0.000000,0,79.916667,0.000000,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.800000,26,0.000000,-1.000000,-1.0,79.916667,0,120,1,0,0,0.000000,0.800000,0.000000,490,24.000000,6.000000,26,7.500000,1.875000,0.000069,0.002083,-1.0,-1.0,0.000000,150,-1.0,4,1,30,1,11,0,0,0,0,0,NaN,0,0,false,false,false,false,0,false,0.000000,5.000000,10.000000,0,0,0.306122
3,4.000000,4.000000,0.000000,-0.000069,1,24,0.000000,79.916667,0.083333,0.076389,0.000000,0.000000,0,79.916667,0.000000,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.800000,25,0.000000,-1.000000,-1.0,79.916667,0,120,1,0,0,0.000000,0.800000,0.000000,490,24.000000,6.000000,26,7.500000,1.875000,0.000069,0.002083,-1.0,-1.0,0.000000,150,-1.0,4,1,30,1,11,0,0,0,0,0,NaN,0,0,false,false,false,false,0,false,0.000000,5.000000,10.000000,0,0,0.306122
4,4.000000,4.000000,0.000000,-0.000069,1,23,0.000000,79.888889,0.111111,0.104167,0.000000,0.000000,0,79.888889,0.000000,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.800000,24,0.000000,-1.000000,-1.0,79.888889,0,120,1,0,0,0.000000,0.800000,0.000000,490,24.000000,6.000000,26,7.500000,1.875000,0.000069,0.002083,-1.0,-1.0,0.000000,150,-1.0,4,1,30,1,15,0,0,0,0,0,NaN,0,0,false,false,false,false,0,false,0.000000,5.000000,10.000000,0,0,0.306122
5,4.000000,4.000000,0.000000,-0.000069,1,23,0.000000,79.881944,0.118056,0.111111,0.000000,0.000000,0,79.881944,0.000000,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.800000,24,0.000000,-1.000000,-1.0,79.881944,0,120,1,0,0,0.000000,0.800000,0.000000,490,24.000000,6.000000,26,7.500000,1.875000,0.000069,0.002083,-1.0,-1.0,0.000000,150,-1.0,4,1,30,1,16,0,0,0,0,0,NaN,0,0,false,false,false,false,0,false,0.000000,5.000000,10.000000,0,0,0.306122
6,4.000000,4.000000,0.000000,-0.000069,1,23,0.000000,79.916667,0.083333,0.076389,0.000000,0.000000,0,79.916667,0.000000,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.800000,24,0.000000,-1.000000,-1.0,79.916667,0,120,1,0,0,0.000000,0.800000,0.000000,490,24.000000,6.000000,26,7.500000,1.875000,0.000069,0.002083,-1.0,-1.0,0.000000,150,-1.0,4,1,30,1,11,0,0,0,0,0,NaN,0,0,false,false,false,false,0,false,0.000000,5.000000,10.000000,0,0,0.306122
7,4.000000,4.000000,0.000000,-0.000069,1,23,0.000000,79.902778,0.097222,0.090278,0.000000,0.000000,0,79.902778,0.000000,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.800000,24,0.000000,-1.000000,-1.0,79.902778,0,120,1,0,0,0.000000,0.800000,0.000000,490,24.000000,6.000000,26,7.500000,1.875000,0.000069,0.002083,-1.0,-1.0,0.000000,150,-1.0,4,1,30,1,13,0,0,0,0,0,NaN,0,0,false,false,false,false,0,false,0.000000,5.000000,10.000000,0,0,0.306122
8,4.000000,4.000000,0.000000,-0.000069,448,23,0.006944,79.909722,0.083333,0.083333,0.000000,0.000000,0,79.909722,0.000000,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.800000,471,0.006944,-1.000000,-1.0,79.909722,0,120,1,0,0,0.000000,0.800000,0.000000,490,24.000000,6.000000,26,7.500000,1.875000,0.000069,0.002083,-1.0,-1.0,0.000000,150,-1.0,4,1,30,0,12,0,1,0,0,0,NaN,0,0,false,false,false,false,0,false,0.000000,5.000000,10.000000,0,0,0.306122
9,4.000000,4.000000,0.000000,-0.000069,441,23,0.006944,78.347222,1.645833,0.055556,0.006944,0.000000,0,78.347222,0.000000,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.800000,464,0.006944,-1.000000,-1.0,78.347222,0,120,1,0,0,0.000000,0.800000,0.000000,490,24.000000,6.000000,26,7.500000,1.875000,0.000069,0.002083,-1.0,-1.0,0.000000,150,-1.0,4,1,30,228,8,1,1,0,0,0,NaN,0,0,false,false,false,false,0,false,0.000000,5.000000,10.000000,0,0,0.306122
10,4.000000,4.000000,0.000000,-0.000071,437,23,0.006944,78.062500,1.930556,0.083333,0.006944,0.000000,0,78.062500,0.000000,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.800000,460,0.006944,-1.000000,-1.0,78.062500,0,120,1,0,0,0.000000,0.800000,0.000000,490,24.000000,6.000000,26,7.500000,1.875000,0.000069,0.002083,-1.0,-1.0,0.000000,150,-1.0,4,1,30,265,12,1,1,0,0,0,NaN,0,0,false,false,false,false,0,false,0.000000,5.000000,10.000000,0,0,0.306122
11,4.000000,4.000000,0.000000,-0.000071,434,23,0.006944,77.993056,2.000000,0.097222,0.006944,0.000000,0,77.993056,0.000000,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.800000,457,0.006944,-1.000000,-1.0,77.993056,0,120,1,0,0,0.000000,0.800000,0.000000,490,24.000000,6.000000,26,7.500000,1.875000,0.000069,0.002083,-1.0,-1.0,0.000000,150,-1.0,4,1,30,273,14,1,1,0,0,0,NaN,0,0,false,false,false,false,0,false,0.000000,5.000000,10.000000,0,0,0.306122
12,4.000000,4.000000,0.000000,-0.000071,434,23,0.006944,78.000000,1.993056,0.083333,0.006944,0.000000,0,78.000000,0.000000,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.800000,457,0.006944,-1.000000,-1.0,78.000000,0,120,1,0,0,0.000000,0.800000,0.000000,490,24.000000,6.000000,26,7.500000,1.875000,0.000069,0.002083,-1.0,-1.0,0.000000,150,-1.0,4,1,30,274,12,1,1,0,0,0,NaN,0,0,false,false,false,false,0,false,0.000000,5.000000,10.000000,0,0,0.306122
13,4.000000,4.000000,0.000000,-0.000071,434,23,0.006944,78.020833,1.972222,0.062500,0.006944,0.000000,0,78.020833,0.000000,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.800000,457,0.006944,-1.000000,-1.0,78.020833,0,120,1,0,0,0.000000,0.800000,0.000000,490,24.000000,6.000000,26,7.500000,1.875000,0.000069,0.002083,-1.0,-1.0,0.000000,150,-1.0,4,1,30,274,9,1,1,0,0,0,NaN,0,0,false,false,false,false,0,false,0.000000,5.000000,10.000000,0,0,0.306122
14,4.000000,4.000000,0.000000,-0.000071,3486,23,0.062500,78.006944,1.930556,0.076389,0.006944,0.000000,0,78.006944,0.000000,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.800000,3509,0.062500,-1.000000,-1.0,78.006944,0,120,1,0,0,0.000000,0.800000,0.000000,490,24.000000,6.000000,26,7.500000,1.875000,0.000069,0.002083,-1.0,-1.0,0.000000,150,-1.0,4,1,30,266,11,1,9,0,0,0,NaN,0,0,false,false,false,false,0,false,0.000000,5.000000,10.000000,0,0,0.306122
15,4.000000,4.000000,0.000000,-0.000071,9846,23,0.194444,75.270833,4.534722,0.083333,0.034722,0.000000,0,75.270833,0.000000,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.800000,9869,0.194444,-1.000000,-1.0,75.270833,0,120,1,0,0,0.000000,0.800000,0.000000,490,24.000000,6.000000,26,7.500000,1.875000,0.000069,0.002083,-1.0,-1.0,0.000000,150,-1.0,4,1,30,636,12,5,28,0,0,0,NaN,0,0,false,false,false,false,0,false,0.000000,5.000000,10.000000,0,0,0.306122
